127.0.0.1 - - [22/Jun/2018:10:59:29 +0200] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:00:09 +0200] "GET /nuovaGestioneStampeWeb HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:00:09 +0200] "GET /nuovaGestioneStampeWeb/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:00:09 +0200] "GET /nuovaGestioneStampeWeb/scambioPagina.html;jsessionid=16303858DE8951E5389F94BA512BCA7B HTTP/1.1" 200 1087
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:00:09 +0200] "GET /nuovaGestioneStampeWeb/css/style.css HTTP/1.1" 200 23072
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:00:23 +0200] "GET /nuovaGestioneStampeWeb/simulaLogin.html?utente=ASSISTENZA.ENTRATE HTTP/1.1" 200 4338
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:00:23 +0200] "GET /nuovaGestioneStampeWeb/css/displaytag-table.css HTTP/1.1" 200 4183
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:00:23 +0200] "GET /nuovaGestioneStampeWeb/img/logo_rep.gif HTTP/1.1" 200 1109
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:00:23 +0200] "GET /nuovaGestioneStampeWeb/img/logo_sie.jpg HTTP/1.1" 200 19710
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:00:46 +0200] "GET /nuovaGestioneStampeWeb/viewStampe.html?utente=ASSISTENZA.ENTRATE&funzione=GEST_STAMPE&descFunzione=Visualizza HTTP/1.1" 200 3362
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:00:46 +0200] "GET /images/sie/spazio.gif HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:00:56 +0200] "POST /nuovaGestioneStampeWeb/viewDettaglioReport.html HTTP/1.1" 200 11090
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:00:56 +0200] "GET /images/sie/spazio.gif HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:01:02 +0200] "POST /nuovaGestioneStampeWeb/viewDettaglioReport.html HTTP/1.1" 200 6557
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:01:02 +0200] "GET /images/sie/spazio.gif HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:02:52 +0200] "GET /nuovaGestioneStampeWeb/gestioneStampe.html?metodo=visualizzaStampa&stampa=0686968C31DCE5E1DDCF00806C4A07DC&formato=modificabile HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:03:09 +0200] "GET /nuovaGestioneStampeWeb HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:03:09 +0200] "GET /nuovaGestioneStampeWeb/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:03:09 +0200] "GET /nuovaGestioneStampeWeb/scambioPagina.html HTTP/1.1" 200 1087
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:03:11 +0200] "GET /nuovaGestioneStampeWeb/simulaLogin.html?utente=ASSISTENZA.ENTRATE HTTP/1.1" 200 4338
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:04:10 +0200] "GET /nuovaGestioneStampeWeb/viewStampe.html?utente=ASSISTENZA.ENTRATE&funzione=GEST_STAMPE&descFunzione=Visualizza HTTP/1.1" 200 3362
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:04:10 +0200] "GET /images/sie/spazio.gif HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:04:11 +0200] "POST /nuovaGestioneStampeWeb/viewDettaglioReport.html HTTP/1.1" 200 11090
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:04:11 +0200] "GET /images/sie/spazio.gif HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:04:14 +0200] "POST /nuovaGestioneStampeWeb/viewDettaglioReport.html HTTP/1.1" 200 6557
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:04:14 +0200] "GET /images/sie/spazio.gif HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:04:31 +0200] "GET /nuovaGestioneStampeWeb/gestioneStampe.html?metodo=visualizzaStampa&stampa=0686968C31DCE5E1DDCF00806C4A07DC&formato=modificabile HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:05:01 +0200] "GET /nuovaGestioneStampeWeb/viewStampe.html?utente=ASSISTENZA.ENTRATE&funzione=GEST_STAMPE&descFunzione=Visualizza HTTP/1.1" 200 3362
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:05:01 +0200] "GET /images/sie/spazio.gif HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:05:02 +0200] "POST /nuovaGestioneStampeWeb/viewDettaglioReport.html HTTP/1.1" 200 11090
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:05:02 +0200] "GET /images/sie/spazio.gif HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:05:05 +0200] "POST /nuovaGestioneStampeWeb/viewDettaglioReport.html HTTP/1.1" 200 6557
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:05:05 +0200] "GET /images/sie/spazio.gif HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:05:47 +0200] "GET /nuovaGestioneStampeWeb/gestioneStampe.html?metodo=visualizzaStampa&stampa=0686968C31DCE5E1DDCF00806C4A07DC&formato=modificabile HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:08:17 +0200] "GET /nuovaGestioneStampeWeb HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:08:17 +0200] "GET /nuovaGestioneStampeWeb/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:08:17 +0200] "GET /nuovaGestioneStampeWeb/scambioPagina.html HTTP/1.1" 200 1087
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:08:18 +0200] "GET /nuovaGestioneStampeWeb/simulaLogin.html?utente=ASSISTENZA.ENTRATE HTTP/1.1" 200 4338
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:08:20 +0200] "GET /nuovaGestioneStampeWeb/viewStampe.html?utente=ASSISTENZA.ENTRATE&funzione=GEST_STAMPE&descFunzione=Visualizza HTTP/1.1" 200 3362
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:08:20 +0200] "GET /images/sie/spazio.gif HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:08:21 +0200] "POST /nuovaGestioneStampeWeb/viewDettaglioReport.html HTTP/1.1" 200 11090
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:08:21 +0200] "GET /images/sie/spazio.gif HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:08:24 +0200] "POST /nuovaGestioneStampeWeb/viewDettaglioReport.html HTTP/1.1" 200 5900
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:08:24 +0200] "GET /images/sie/spazio.gif HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:08:57 +0200] "GET /nuovaGestioneStampeWeb/gestioneStampe.html?metodo=visualizzaStampa&stampa=8C8FB03C45BAB064B3F7708E9B4A9AAD&formato=modificabile HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:11:12 +0200] "GET /nuovaGestioneStampeWeb HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:11:12 +0200] "GET /nuovaGestioneStampeWeb/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:11:12 +0200] "GET /nuovaGestioneStampeWeb/scambioPagina.html HTTP/1.1" 200 1087
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:11:19 +0200] "GET /nuovaGestioneStampeWeb/simulaLogin.html?utente=ASSISTENZA.ENTRATE HTTP/1.1" 200 4338
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:11:21 +0200] "GET /nuovaGestioneStampeWeb/viewStampe.html?utente=ASSISTENZA.ENTRATE&funzione=GEST_STAMPE&descFunzione=Visualizza HTTP/1.1" 200 3362
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:11:21 +0200] "GET /images/sie/spazio.gif HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:11:22 +0200] "POST /nuovaGestioneStampeWeb/viewDettaglioReport.html HTTP/1.1" 200 11090
0:0:0:0:0:0:0:1 - - [22/Jun/2018:11:11:22 +0200] "GET /images/sie/spazio.gif HTTP/1.1" 404 993
