127.0.0.1 - - [20/Mar/2019:11:18:32 +0100] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [20/Mar/2019:11:19:13 +0100] "GET /nuovaGestioneStampeWeb HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Mar/2019:11:19:13 +0100] "GET /nuovaGestioneStampeWeb/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Mar/2019:11:19:13 +0100] "GET /nuovaGestioneStampeWeb/scambioPagina.html;jsessionid=D85B93AA6654B216BB07D0AD7EE00E59 HTTP/1.1" 200 1087
0:0:0:0:0:0:0:1 - - [20/Mar/2019:11:19:13 +0100] "GET /nuovaGestioneStampeWeb/css/style.css HTTP/1.1" 200 23072
0:0:0:0:0:0:0:1 - - [20/Mar/2019:11:19:15 +0100] "GET /nuovaGestioneStampeWeb/simulaLogin.html?utente=ASSISTENZA.ENTRATE HTTP/1.1" 200 4338
0:0:0:0:0:0:0:1 - - [20/Mar/2019:11:19:15 +0100] "GET /nuovaGestioneStampeWeb/css/displaytag-table.css HTTP/1.1" 200 4183
0:0:0:0:0:0:0:1 - - [20/Mar/2019:11:19:15 +0100] "GET /nuovaGestioneStampeWeb/img/logo_sie.jpg HTTP/1.1" 200 19710
0:0:0:0:0:0:0:1 - - [20/Mar/2019:11:19:15 +0100] "GET /nuovaGestioneStampeWeb/img/logo_rep.gif HTTP/1.1" 200 1109
0:0:0:0:0:0:0:1 - - [20/Mar/2019:11:19:17 +0100] "GET /nuovaGestioneStampeWeb/viewStampe.html?utente=ASSISTENZA.ENTRATE&funzione=GEST_STAMPE&descFunzione=Visualizza HTTP/1.1" 200 3362
0:0:0:0:0:0:0:1 - - [20/Mar/2019:11:19:17 +0100] "GET /images/sie/spazio.gif HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [20/Mar/2019:11:19:19 +0100] "POST /nuovaGestioneStampeWeb/viewDettaglioReport.html HTTP/1.1" 200 11090
0:0:0:0:0:0:0:1 - - [20/Mar/2019:11:19:19 +0100] "GET /images/sie/spazio.gif HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [20/Mar/2019:11:19:23 +0100] "POST /nuovaGestioneStampeWeb/viewDettaglioReport.html HTTP/1.1" 200 6557
0:0:0:0:0:0:0:1 - - [20/Mar/2019:11:19:23 +0100] "GET /images/sie/spazio.gif HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [20/Mar/2019:11:19:26 +0100] "GET /nuovaGestioneStampeWeb/gestioneStampe.html?metodo=visualizzaStampa&stampa=0686968C31DCE5E1DDCF00806C4A07DC&formato=modificabile HTTP/1.1" 200 6668
0:0:0:0:0:0:0:1 - - [20/Mar/2019:11:19:26 +0100] "GET /images/sie/spazio.gif HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [20/Mar/2019:11:19:26 +0100] "GET /nuovaGestioneStampeWeb/img/errore.gif HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [20/Mar/2019:11:19:32 +0100] "GET /nuovaGestioneStampeWeb/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Mar/2019:11:19:32 +0100] "GET /nuovaGestioneStampeWeb/logoutoam.jsp HTTP/1.1" 404 -
