127.0.0.1 - - [18/Feb/2022:12:12:03 +0100] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [18/Feb/2022:12:14:12 +0100] "GET /nuovaGestioneStampeWeb HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Feb/2022:12:14:12 +0100] "GET /nuovaGestioneStampeWeb/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Feb/2022:12:14:13 +0100] "GET /nuovaGestioneStampeWeb/scambioPagina.html;jsessionid=9C7F76DFB62E457574D677C0BBF2EFF0 HTTP/1.1" 200 1087
0:0:0:0:0:0:0:1 - - [18/Feb/2022:12:14:13 +0100] "GET /nuovaGestioneStampeWeb/css/style.css HTTP/1.1" 200 23072
0:0:0:0:0:0:0:1 - - [18/Feb/2022:12:14:13 +0100] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [18/Feb/2022:12:14:18 +0100] "GET /nuovaGestioneStampeWeb/simulaLogin.html?utente=ASSISTENZA.ENTRATE HTTP/1.1" 200 4338
0:0:0:0:0:0:0:1 - - [18/Feb/2022:12:14:18 +0100] "GET /nuovaGestioneStampeWeb/css/displaytag-table.css HTTP/1.1" 200 4183
0:0:0:0:0:0:0:1 - - [18/Feb/2022:12:14:18 +0100] "GET /nuovaGestioneStampeWeb/img/logo_rep.gif HTTP/1.1" 200 1109
0:0:0:0:0:0:0:1 - - [18/Feb/2022:12:14:18 +0100] "GET /nuovaGestioneStampeWeb/img/logo_sie.jpg HTTP/1.1" 200 19710
0:0:0:0:0:0:0:1 - - [18/Feb/2022:12:14:39 +0100] "GET /nuovaGestioneStampeWeb/viewStampe.html?utente=ASSISTENZA.ENTRATE&funzione=GEST_STAMPE&descFunzione=Visualizza HTTP/1.1" 200 3362
0:0:0:0:0:0:0:1 - - [18/Feb/2022:12:14:39 +0100] "GET /images/sie/spazio.gif HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [18/Feb/2022:12:14:46 +0100] "POST /nuovaGestioneStampeWeb/viewDettaglioReport.html HTTP/1.1" 200 11090
0:0:0:0:0:0:0:1 - - [18/Feb/2022:12:14:46 +0100] "GET /images/sie/spazio.gif HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [18/Feb/2022:12:15:17 +0100] "POST /nuovaGestioneStampeWeb/viewDettaglioReport.html HTTP/1.1" 200 5900
0:0:0:0:0:0:0:1 - - [18/Feb/2022:12:15:17 +0100] "GET /images/sie/spazio.gif HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [18/Feb/2022:12:15:38 +0100] "GET /nuovaGestioneStampeWeb/gestioneStampe.html?metodo=visualizzaStampa&stampa=8C8FB03C45BAB064B3F7708E9B4A9AAD&formato=modificabile HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Feb/2022:12:16:05 +0100] "GET /nuovaGestioneStampeWeb HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Feb/2022:12:16:05 +0100] "GET /nuovaGestioneStampeWeb/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Feb/2022:12:16:05 +0100] "GET /nuovaGestioneStampeWeb/scambioPagina.html HTTP/1.1" 200 1087
0:0:0:0:0:0:0:1 - - [18/Feb/2022:12:16:07 +0100] "GET /nuovaGestioneStampeWeb/simulaLogin.html?utente=ASSISTENZA.ENTRATE HTTP/1.1" 200 4338
0:0:0:0:0:0:0:1 - - [18/Feb/2022:12:16:08 +0100] "GET /nuovaGestioneStampeWeb/viewStampe.html?utente=ASSISTENZA.ENTRATE&funzione=GEST_STAMPE&descFunzione=Visualizza HTTP/1.1" 200 3362
0:0:0:0:0:0:0:1 - - [18/Feb/2022:12:16:08 +0100] "GET /images/sie/spazio.gif HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [18/Feb/2022:12:16:13 +0100] "POST /nuovaGestioneStampeWeb/viewDettaglioReport.html HTTP/1.1" 200 4768
0:0:0:0:0:0:0:1 - - [18/Feb/2022:12:16:13 +0100] "GET /images/sie/spazio.gif HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [18/Feb/2022:12:16:19 +0100] "POST /nuovaGestioneStampeWeb/viewDettaglioReport.html HTTP/1.1" 200 8163
0:0:0:0:0:0:0:1 - - [18/Feb/2022:12:16:19 +0100] "GET /images/sie/spazio.gif HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [18/Feb/2022:12:16:36 +0100] "GET /nuovaGestioneStampeWeb/gestioneStampe.html?metodo=visualizzaStampa&stampa=88C5A49F474328DA3960EFB6E63C2DAA&formato=modificabile HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Feb/2022:12:16:59 +0100] "GET /nuovaGestioneStampeWeb/gestioneStampe.html?metodo=visualizzaStampa&stampa=0D4DD7384BC91D09F6FAA2B68BA1A421&formato=modificabile HTTP/1.1" 302 -
